담당 파트,우선순위,도메인,구분,메서드,경로,기능,인증,경로 파라미터,쿼리 파라미터,요청 바디,응답 data,설명,구현 상태,선행 작업,컨트롤러
E. 정산·리뷰·고객지원,4,15. Settlement,사용자,GET,/api/v1/settlements/mine,내 정산 목록,로그인,,"phase(DEPOSIT/SUCCESS_FEE), status(PENDING/PAID/OVERDUE/FAILED), page, size",,PageResponseSettlementResponse,착수금·성공보수 수수료 내역입니다. 클라이언트와 프리랜서 모두 조회합니다.,스켈레톤,"06. Account, 14. Contract",SettlementController
E. 정산·리뷰·고객지원,4,15. Settlement,사용자,GET,/api/v1/settlements/penalties/mine,내 위약금 목록,로그인,,,,PenaltyResponse[],계약 파기로 발생한 위약금 내역입니다.,스켈레톤,"06. Account, 14. Contract",SettlementController
E. 정산·리뷰·고객지원,4,15. Settlement,사용자,POST,/api/v1/settlements/penalties/{penaltyId}/payment,위약금 납부,로그인,penaltyId*,,SettlementPayRequest: paymentMethodId*,PenaltyResponse,,스켈레톤,"06. Account, 14. Contract",SettlementController
E. 정산·리뷰·고객지원,4,15. Settlement,사용자,GET,/api/v1/settlements/{settlementId},정산 상세,로그인,settlementId*,,,SettlementResponse,,스켈레톤,"06. Account, 14. Contract",SettlementController
E. 정산·리뷰·고객지원,4,15. Settlement,사용자,POST,/api/v1/settlements/{settlementId}/payment,수수료 결제,로그인,settlementId*,,SettlementPayRequest: paymentMethodId*,SettlementResponse,결제 가능한 상태에서만 호출합니다. 가상계좌 잔액에서 차감하고 원장에 기록합니다.,스켈레톤,"06. Account, 14. Contract",SettlementController
E. 정산·리뷰·고객지원,4,16. Review,사용자,POST,/api/v1/reviews,리뷰 작성,로그인,,,"ReviewCreateRequest: contractId*, counterpart*{score*, content}, site*{Rating}",ReviewResponse,상대 평가(필수)와 사이트 후기(선택)를 함께 등록합니다. 작성 후 수정·삭제할 수 없습니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,관리자,GET,/api/v1/reviews/admin/site-reviews,[관리자] 사이트 리뷰 목록,ADMIN,,"score, writerRole(CLIENT/FREELANCER), visibility(PRIVATE/PUBLIC), promoted, page, size",,PageResponseSiteReviewResponse,별점·작성자 구분·공개 여부·홍보 여부로 필터링합니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,관리자,GET,/api/v1/reviews/admin/site-reviews/summary,[관리자] 사이트 리뷰 요약,ADMIN,,,,SiteReviewSummaryResponse,요약 카드와 별점 분포 그래프에 쓰는 값입니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,관리자,PUT,/api/v1/reviews/admin/site-reviews/{siteReviewId}/visibility,[관리자] 사이트 리뷰 공개·홍보 설정,ADMIN,siteReviewId*,,"SiteReviewVisibilityRequest: visibility*, promoted*",SiteReviewResponse,기본값은 비공개입니다. 공개로 바꿔야 메인에 노출될 수 있습니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,사용자,GET,/api/v1/reviews/pending,작성 대기 목록,로그인,,,,ReviewResponse[],대금 지급이 끝났는데 아직 리뷰를 쓰지 않은 계약입니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,사용자,GET,/api/v1/reviews/received,받은 리뷰 목록,로그인,,"page, size",,PageResponseReviewResponse,상대가 나에게 남긴 평가입니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,사용자,GET,/api/v1/reviews/summary,내 평점 요약,로그인,,,,ReviewSummaryResponse,마이페이지의 평균 별점·건수·등급입니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,16. Review,사용자,GET,/api/v1/reviews/written,작성한 리뷰 목록,로그인,,"page, size",,PageResponseReviewResponse,내가 상대에게 남긴 평가입니다.,스켈레톤,15. Settlement,ReviewController
E. 정산·리뷰·고객지원,4,18. Support,관리자,GET,/api/v1/support/admin/inquiries,[관리자] 문의 목록,ADMIN,,"status(PENDING/ANSWERED), page, size",,PageResponseInquiryResponse,상태로 필터링합니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,관리자,POST,/api/v1/support/admin/inquiries/{inquiryId}/answer,[관리자] 문의 답변,ADMIN,inquiryId*,,InquiryAnswerRequest: answer*,InquiryResponse,답변하면 상태가 ANSWERED 로 바뀌고 사용자에게 알림이 발송됩니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,POST,/api/v1/support/chatbot/questions,챗봇 질의,로그인,,,"ChatbotAskRequest: sessionId, question*",ChatbotAnswerResponse,FAQ·이용안내·정책 범위에서 답합니다. 하루 10회를 넘기면 429 로 막힙니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,GET,/api/v1/support/chatbot/quota,챗봇 잔여 한도 조회,로그인,,,,ChatbotQuotaResponse,자정에 초기화됩니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,GET,/api/v1/support/chatbot/sessions/{sessionId}/messages,챗봇 대화 이력,로그인,sessionId*,,,ChatbotAnswerResponse[],한 세션의 질문·답변을 시간순으로 반환합니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,GET,/api/v1/support/chatbot/suggested-questions,챗봇 추천 질문,로그인,,,,string[],입력창 위에 칩으로 노출되는 질문 목록입니다. 누르면 그대로 질의합니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,POST,/api/v1/support/inquiries,1:1 문의 등록,로그인,,,"InquiryCreateRequest: category, title*, content*, fileIds",InquiryResponse,챗봇 이용 여부와 무관하게 언제든 접수할 수 있습니다.,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,GET,/api/v1/support/inquiries/mine,내 문의 목록,로그인,,"status(PENDING/ANSWERED), page, size",,PageResponseInquiryResponse,,스켈레톤,-,SupportController
E. 정산·리뷰·고객지원,4,18. Support,사용자,GET,/api/v1/support/inquiries/{inquiryId},문의 상세,로그인,inquiryId*,,,InquiryResponse,,스켈레톤,-,SupportController
A. 공통·기반,5,30. Admin,관리자,GET,/api/v1/admin/dashboard,[관리자] 대시보드,ADMIN,,,,AdminDashboardResponse,회원·프로젝트·협상·정산 요약과 처리 대기 항목을 반환합니다.,스켈레톤,전 도메인,AdminDashboardController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/email-verifications,인증코드 발송,비로그인,,,"SendCodeRequest: email*, purpose*",SendCodeResponse,6자리 코드를 메일로 보냅니다. 응답의 expiresAt으로 타이머를 표시하세요.,구현 완료,-,EmailVerificationController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/email-verifications/confirm,인증코드 확인,비로그인,,,"ConfirmCodeRequest: email*, purpose*, code",없음,,구현 완료,-,EmailVerificationController
A. 공통·기반,,01. Auth,사용자,GET,/api/v1/auth/exists/business-no,사업자등록번호 중복 확인,비로그인,,businessNo*,,DuplicationResponse,"형식 검사만 하며, 국세청 진위확인은 아직 연동하지 않았습니다.",구현 완료,-,SignUpController
A. 공통·기반,,01. Auth,사용자,GET,/api/v1/auth/exists/email,이메일 중복 확인,비로그인,,"email*, role*(CLIENT/FREELANCER/ADMIN)",,DuplicationResponse,역할별로 판정합니다. 클라이언트로 쓰인 이메일이어도 프리랜서로는 가입할 수 있습니다.,구현 완료,-,SignUpController
A. 공통·기반,,01. Auth,사용자,GET,/api/v1/auth/exists/phone,휴대폰번호 중복 확인,비로그인,,"phone*, role*(CLIENT/FREELANCER/ADMIN)",,DuplicationResponse,역할별로 판정합니다.,구현 완료,-,SignUpController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/find-email,아이디(이메일) 찾기,비로그인,,,"FindEmailRequest: name*, phone",FindEmailResponse,"이름과 전화번호로 찾습니다. 두 역할로 가입했다면 계정이 둘 다 나오며, 이메일은 마스킹됩니다.",구현 완료,-,AccountRecoveryController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/login,이메일 로그인,비로그인,,,"LoginRequest: email*, password*, role*",LoginResponse,성공 시 accessToken/refreshToken 쿠키가 발급됩니다. 이전 기기의 세션은 즉시 끊깁니다.,구현 완료,-,AuthController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/logout,로그아웃,비로그인,,,,없음,Redis의 리프레시 토큰과 세션을 지우고 쿠키를 만료시킵니다.,구현 완료,-,AuthController
A. 공통·기반,,01. Auth,사용자,GET,/api/v1/auth/me,현재 로그인 사용자 조회,비로그인,,,,MeResponse,,구현 완료,-,AuthController
A. 공통·기반,,01. Auth,사용자,PATCH,/api/v1/auth/password,비밀번호 변경,비로그인,,,"ChangePasswordRequest: currentPassword*, newPassword*, newPasswordConfirm*",없음,임시 비밀번호로 로그인한 뒤 새 비밀번호를 등록합니다. 변경 후에는 모든 세션이 끊겨 재로그인이 필요합니다.,구현 완료,-,AccountRecoveryController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/password/reset-confirm,재설정 링크 확인 및 임시 비밀번호 발급,비로그인,,,PasswordResetConfirmRequest: token*,없음,링크의 토큰을 확인하고 임시 비밀번호를 메일로 보냅니다. 기존 로그인 세션은 모두 끊깁니다.,구현 완료,-,AccountRecoveryController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/password/reset-requests,비밀번호 재설정 링크 요청,비로그인,,,"PasswordResetRequest: email*, role*, name*, phone",없음,이메일/이름/전화번호가 모두 일치하면 3분짜리 링크를 보냅니다. 계정 열거를 막기 위해 일치하지 않아도 동일하게 응답합니다.,구현 완료,-,AccountRecoveryController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/refresh,액세스 토큰 재발급,비로그인,,,,LoginResponse,refreshToken 쿠키로 재발급합니다. 다른 기기가 로그인했다면 AU_015로 실패합니다.,구현 완료,-,AuthController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/signup/client,클라이언트 회원가입,비로그인,,User-Agent,"ClientSignUpRequest: companyName*, businessNo, businessField*, employeeCount*, email*, name*, phone, password*, passwordConfirm*, card*{cardNumber*, cardBrand*}, bankAccount*{bankCode, accountNo*, accountHolder*}, agreements*{termsId*, agreed}[]",SignUpResponse,기업 정보와 결제수단을 함께 등록합니다. 이메일 인증이 선행되어야 합니다.,구현 완료,-,SignUpController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/signup/freelancer,프리랜서 일반 회원가입,비로그인,,User-Agent,"FreelancerSignUpRequest: name*, phone, email*, password*, passwordConfirm*, birthDate*, card*{cardNumber*, cardBrand*}, bankAccount*{bankCode, accountNo*, accountHolder*}, agreements*{termsId*, agreed}[]",SignUpResponse,이메일 인증과 만 18세 이상 조건을 확인합니다.,구현 완료,-,SignUpController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/signup/freelancer/social,프리랜서 소셜 회원가입,비로그인,,User-Agent,"SocialSignUpRequest: signUpTicket*, name*, phone, birthDate*, card*{cardNumber*, cardBrand*}, bankAccount*{bankCode, accountNo*, accountHolder*}, agreements*{termsId*, agreed}[]",LoginResponse,소셜 콜백에서 받은 티켓으로 가입을 마칩니다. 이메일은 티켓 값이 쓰이며 변경할 수 없습니다. 가입 직후 로그인 쿠키가 발급됩니다.,구현 완료,-,SignUpController
A. 공통·기반,,01. Auth,사용자,GET,/api/v1/auth/social/{provider}/authorize,소셜 인가 URL 발급,비로그인,provider*,returnUrl,,AuthorizeUrlResponse,provider는 kakao 또는 google 입니다.,구현 완료,-,SocialAuthController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/social/{provider}/callback,소셜 콜백 처리,비로그인,provider*,,"SocialCallbackRequest: code*, state*",SocialAuthResponse,"이미 연동된 계정이면 로그인 쿠키가 발급되고, 아니면 가입 티켓을 반환합니다.",구현 완료,-,SocialAuthController
A. 공통·기반,,01. Auth,사용자,POST,/api/v1/auth/unlock,계정 잠금 해제,비로그인,,,"UnlockRequest: email*, role*, code",없음,UNLOCK 용도로 받은 인증코드를 확인하고 잠금을 풉니다.,구현 완료,-,AccountRecoveryController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/banks,은행 목록,비로그인,,,,CodeLabelResponse[],계좌 등록에 쓰는 은행 코드 목록입니다. code(금융결제원 기관코드)를 그대로 보냅니다.,구현 완료,-,MetaController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/business-fields,사업 분야 목록,비로그인,,,,CodeLabelResponse[],클라이언트 회원가입의 사업 분야 선택 목록입니다.,구현 완료,-,MetaController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/employee-counts,직원수 구간 목록,비로그인,,,,CodeLabelResponse[],클라이언트 회원가입의 직원수 선택 목록입니다.,구현 완료,-,MetaController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/job-categories,직군 목록,비로그인,,,,CodeItemResponse[],,구현 완료,-,CodeController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/job-roles,직무 목록,비로그인,,,,CodeItemResponse[],parentCode 로 직군이 함께 내려갑니다. 직군 선택 시 필터링에 쓰세요.,구현 완료,-,CodeController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/skills,스킬 목록,비로그인,,,,CodeItemResponse[],,구현 완료,-,CodeController
A. 공통·기반,,02. Meta,사용자,GET,/api/v1/meta/work-conditions,근무 조건 코드 묶음,비로그인,,,,Map,근무 방식·근무 형태·급여 단위·기간 단위·스킬 숙련도를 한 번에 내려줍니다. 화면 하나에서 같이 쓰이므로 묶었습니다.,구현 완료,-,CodeController
A. 공통·기반,,03. Terms,사용자,GET,/api/v1/terms,역할별 최신 약관 목록,비로그인,,role*,,TermsResponse[],가입 화면에 노출할 약관을 코드별 최신 버전으로 반환합니다.,구현 완료,-,TermsController
-,9,99. 기타(템플릿 예제),사용자,POST,/api/v1/examples,예시 데이터 생성,로그인,,,CreateExampleRequest: name*,ExampleResponse,새로운 예시 데이터를 생성합니다.,삭제 예정,-,ExampleController
-,9,99. 기타(템플릿 예제),사용자,GET,/api/v1/examples/{exampleId},예시 데이터 단건 조회,로그인,exampleId*,,,ExampleResponse,ID로 예시 데이터를 조회합니다.,삭제 예정,-,ExampleController
-,9,99. 기타(템플릿 예제),사용자,POST,/api/v1/examples/{exampleId}/image,예시 이미지 업로드,로그인,exampleId*,,multipart: image,ExampleResponse,이미지를 스토리지에 업로드하고 예시 데이터에 연결합니다.,삭제 예정,-,ExampleController
